tourney_id,Stack,mean_chip_ev,median_chip_ev,std_chip_ev,n_observations
482,500.0,22.87863058984849,-33.305827,406.45785795112886,22243
482,800.0,169.9387544324324,74.792224,868.1881648343976,37
483,300.0,6.69667350284602,-12.9496865,197.20565687307985,244552
483,500.0,20.371123799662183,-39.127982,415.67323447283883,19537
483,800.0,-37.55738892105264,-65.17379550000001,815.9531832325262,38
484,300.0,8.919231909147127,-11.622914,200.37279017217074,198904
484,500.0,20.125669651549277,-40.273755,408.523722224514,16427
484,800.0,-128.51714153846154,-188.7556385,781.1894275422015,26
484,1000.0,-374.7176335,-374.7176335,762.2283109710529,2
485,300.0,3.8594896397271468,-14.266785500000001,192.49292221725196,186034
485,500.0,11.370970304168607,-43.721426,393.2609090547495,15041
485,800.0,85.47928579310346,-213.267843,685.3541637351387,29
485,1000.0,155.7586,-256.106348,1093.226559906505,3
548,500.0,80.980062,21.431066,248.06875453462436,5
549,300.0,37.69715424425375,21.25147,193.04528870371396,3263
563,500.0,17.445805474824105,-31.661043,388.04787861562744,16345
564,500.0,25.59902242163633,-26.065303999999998,394.72671272331235,43732
565,500.0,29.845200912596436,-22.826924,408.88776755136706,77125
566,500.0,30.53281249214192,-24.375372,406.02724394709645,160090
567,500.0,35.89135547320582,-19.061556,403.7610047168828,292209
568,500.0,38.53369101471209,-11.614503,396.74423065230167,393486
569,500.0,52.14379561963114,4.862519,407.0547618877965,113432
570,500.0,47.44684029101781,6.920628,391.81084894566817,30438
573,500.0,26.485003282296653,-21.693120999999998,373.409175295676,836
575,500.0,22.629665869181625,-24.608127500000002,373.0541658969591,6574
576,500.0,36.037503731408364,-11.00369,380.16931453407614,46096
577,500.0,38.290034066569945,-13.324458,394.67733444529074,23434
578,500.0,48.3203825656944,2.7552355,379.29536578860535,59792
579,500.0,54.35470817142492,10.956885,379.4231042134383,46901
580,500.0,87.80422828428863,45.349559,398.7154264833426,7816
581,500.0,179.95566321428572,166.38874099999998,425.0007300633305,14
582,500.0,18.757639422140628,-33.237089,389.3833084025541,27235
583,500.0,30.801430134008612,-20.919179,403.40732100210477,45512
584,500.0,28.644945076584442,-19.091221,382.94460184442477,151741
585,500.0,35.79421211531056,-17.724676,399.3373121731408,208255
586,500.0,37.5248767250245,-15.2335535,399.5866934768302,263358
587,500.0,47.75285471994782,-5.418051,410.7286590585926,85859
588,500.0,50.424160851996106,9.103892,389.1153726374129,1027
589,500.0,57.91495624694376,14.024206,413.6736217019092,1227
590,500.0,22.751563306917326,-21.9605835,378.7191252439099,9628
591,500.0,32.53833110186887,-12.1850415,383.39951346792134,122962
592,500.0,28.733989156876227,-16.0761005,377.0331153249384,180346
593,500.0,32.50175435837158,-13.279254,377.2140865853035,92605
594,500.0,42.591333959648956,-4.086684999999999,380.5035368768611,81584
595,500.0,57.10384472154835,9.4259855,419.9590256126787,5606
596,500.0,93.07185237192343,20.107091,424.55652795363267,1097
597,500.0,-112.16241400000001,-123.014414,296.1522678121972,5
609,200.0,28.947795364621953,18.722,130.3362208144845,21307
611,200.0,15.25850350229764,3.9911355000000004,126.84106512266632,326422
612,200.0,10.744687340295057,0.253979,123.76668896548152,51041
638,500.0,39.16281297325975,-10.670049,400.77428531024594,121951
639,500.0,32.05772995538732,-24.604217,414.41413131213227,66573
